Accounting-Control-Number-Numéro-contrôle-comptable,Journal-Voucher-Type-Code-Code-du-type-de-pièce-de-journal,Fiscal-Year-Année-Fiscale,Journal-Voucher-Identifier-Identificateur-de-la-pièce-de-journal,Accounting-Effective-Date-Date-d'entrée-en-vigueur-comptable,DepartmentNumber-Numéro-de-Ministère,Fiscal-Month-Mois-Fiscal,Journal-Voucher-Item-Identifier-Identificateur-de-l'item-de-la-pièce-de-journal,Financial-Coding-Block-Bloc-de-codage-financier,Subleger-Account-Identifier-Compte-du-grand-livre-auxiliaire,Credit/Debit-Code-Code-Crédit/Débit,Journal-Voucher-Item-Amount-Montant-de-l'item-de-la-pièce-de-journal,Control-Data-Type-Type-de-données-de-contrôle,Accounting-Summary-Transaction-Line-Count-Sommaire-comptable-transaction-compte-ligne,GBS-Control-Number-Numéro-de-contrôle-du-SBG,General-Ledger-Account-Code-Code-du-compte-du-grand-livre-général
202313000042,JVEFI,2023/2024,,2023-05-10,035,02,1,,0350000,CR,4848.71,CMC,1,202313000125165,
202313000043,JVEFI,2023/2024,,2023-05-10,047,02,1,,0470470,CR,2341.60,CMC,1,202313000125166,
202313000044,JVEFI,2023/2024,,2023-05-10,163,02,1,,1634019,CR,1014.29,CMC,1,202313000125170,
202313000045,JVEFI,2023/2024,,2023-05-10,005,02,1,,0050050,CR,1928.75,CMC,3,202313000125157,
202313000046,JVEFI,2023/2024,,2023-05-10,005,02,1,,0050054,CR,722.06,CMC,1,202313000125158,
202313000047,JVEFI,2023/2024,,2023-05-10,018,02,1,,0180125,CR,1022.63,CMC,1,202313000125160,
202313000048,JVEFI,2023/2024,,2023-05-10,018,02,1,,0182183,CR,22907.41,CMC,1,202313000125161,
202313000049,JVEFI,2023/2024,,2023-05-10,018,02,1,,0186369,CR,843.53,CMC,1,202313000125162,
202313000050,JVEFI,2023/2024,,2023-05-10,018,02,1,,0189518,CR,850.27,CMC,1,202313000125163,
202313000051,JVEFI,2023/2024,,2023-05-10,033,02,1,,0330000,CR,756.56,CMC,1,202313000125164,
202313000052,JVEFI,2023/2024,,2023-05-10,148,02,1,,1482100,CR,150021.50,CMC,1,202313000125169,
202313000053,JVEFI,2023/2024,,2023-05-10,005,02,1,,0050054,CR,2221.24,CMC,3,202313000125158,
202313000054,JVFID,2023/2024,,2023-05-10,097,02,1,,,DR,612.71,JMU,1,202313000125168,
202313000055,JVFIR,2023/2024,,2023-05-10,097,02,1,,,DR,1704682.66,JMT,1,202313000125167,
202313000056,JVFIR,2023/2024,,2023-05-10,097,02,1,,,DR,138099223.37,JMT,1,202313000125167,
202313000057,JVFIR,2023/2024,,2023-05-10,097,02,1,,,DR,794902.44,JMT,1,202313000125167,
202313000058,JVFRD,2023/2024,,2023-05-09,097,02,1,,,DR,2343.08,JMV,1,202312900125127,
202313000059,JVIVI,2023/2024,,2023-05-10,006,02,1,,0060000,CR,10140.97,CMD,3,202313000125159,
202313000060,JVIVR,2023/2024,,2023-05-09,006,02,1,,0060000,DR,10.45,CMF,1,202312900125113,
202313000061,JVRFI,2023/2024,,2023-05-09,097,02,1,,,DR,85.42,JMW,1,202312900125128,
202313000062,RGEPA,2023/2024,,2023-05-09,097,02,1,,,DR,4520933478.23,JMZ,1,202312900125130,
202313100000,EPAYR,2023/2024,,2023-05-10,097,02,1,,,DR,9665855.21,JMR,16,202313000125182,
202313100001,JVBDP,2023/2024,,2023-05-10,097,02,1,,,DR,2999991233.30,JMY,70,202313000125184,
202313100002,JVBRT,2023/2024,,2023-05-10,006,02,1,,0060000,DR,2747500.00,CMT,1,202313000125173,
202313100003,JVRDI,2023/2024,,2023-05-10,006,02,1,,0060000,DR,120668.21,CMI,19,202313000125172,
202313100004,JVRGI,2023/2024,,2023-05-10,097,02,1,,,DR,2067767148.83,JMG,64,202313000125180,
